,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
2961,2962,2015,Au,I,None,Negative,33.69,CCL-110,H,Fetus,L,96,400,85.507,10.1002/jbm.a.35491
2962,2963,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,24,0.2,120.51,10.1002/jbm.a.35491
2963,2964,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,24,0.4,117.66,10.1002/jbm.a.35491
2964,2965,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,24,2,121.65,10.1002/jbm.a.35491
2965,2966,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,24,4,105.13,10.1002/jbm.a.35491
2966,2967,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,24,20,116.24,10.1002/jbm.a.35491
2967,2968,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,40,116.24,10.1002/jbm.a.35491
2968,2969,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,200,121.08,10.1002/jbm.a.35491
2969,2970,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,400,126.78,10.1002/jbm.a.35491
2970,2971,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,0.2,78.632,10.1002/jbm.a.35491
2971,2972,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,0.4,85.755,10.1002/jbm.a.35491
2972,2973,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,2,106.84,10.1002/jbm.a.35491
2973,2974,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,4,92.308,10.1002/jbm.a.35491
2974,2975,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,20,110.54,10.1002/jbm.a.35491
2975,2976,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,40,113.39,10.1002/jbm.a.35491
2976,2977,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,200,108.26,10.1002/jbm.a.35491
2977,2978,2015,Au,I,None,Negative,33.69,RFPEC,A,Adult,L,96,400,70.94,10.1002/jbm.a.35491
2978,2979,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,9,3.1208,10.3109/17435390.2010.528847
2979,2980,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,9,97.286,10.3109/17435390.2010.528847
2980,2981,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,1.82,3.7946,10.3109/17435390.2010.528847
2981,2982,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,5.81,3.7946,10.3109/17435390.2010.528847
2982,2983,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,9,2.6786,10.3109/17435390.2010.528847
2983,2984,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,13,1.3393,10.3109/17435390.2010.528847
2984,2985,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,18,1.3393,10.3109/17435390.2010.528847
2985,2986,2011,Au,I,CTAB,unknown,42.9,MDCK-II,A,Adult,L,24,28.9,14.286,10.3109/17435390.2010.528847
2986,2987,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,1.82,90.402,10.3109/17435390.2010.528847
2987,2988,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,5.91,95.312,10.3109/17435390.2010.528847
2988,2989,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,9.45,96.205,10.3109/17435390.2010.528847
2989,2990,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,14,59.152,10.3109/17435390.2010.528847
2990,2991,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,19,53.571,10.3109/17435390.2010.528847
2991,2992,2011,Au,I,CTAB,unknown,17.2,MDCK-II,A,Adult,L,24,30.6,53.571,10.3109/17435390.2010.528847
3040,3041,2018,Au,I,Citrate,Negative,5.2,HEBC3-KT,H,Adult,L,48,0.5,100.46,10.1093/mutage/gex027
3041,3042,2018,Au,I,Citrate,Negative,5.2,HEBC3-KT,H,Adult,L,48,10,100,10.1093/mutage/gex027
3042,3043,2018,Au,I,Citrate,Negative,5.2,HEBC3-KT,H,Adult,L,48,20,98.169,10.1093/mutage/gex027
3043,3044,2018,Au,I,Citrate,Negative,5.2,HEBC3-KT,H,Adult,L,48,50,96.796,10.1093/mutage/gex027
3044,3045,2018,Au,I,Citrate,Negative,49.2,HEBC3-KT,H,Adult,L,48,0.5,98.627,10.1093/mutage/gex027
3045,3046,2018,Au,I,Citrate,Negative,49.2,HEBC3-KT,H,Adult,L,48,10,100,10.1093/mutage/gex027
3046,3047,2018,Au,I,Citrate,Negative,49.2,HEBC3-KT,H,Adult,L,48,20,101.14,10.1093/mutage/gex027
3047,3048,2018,Au,I,Citrate,Negative,49.2,HEBC3-KT,H,Adult,L,48,50,102.29,10.1093/mutage/gex027
3132,3133,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,2,83.404,10.1371/journal.pone.0069534
3133,3134,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,5,69.094,10.1371/journal.pone.0069534
3134,3135,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,10,51.412,10.1371/journal.pone.0069534
3135,3136,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,25,34.027,10.1371/journal.pone.0069534
3136,3137,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,50,27.935,10.1371/journal.pone.0069534
3137,3138,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,2,81.395,10.1371/journal.pone.0069534
3138,3139,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,5,66.202,10.1371/journal.pone.0069534
3139,3140,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,10,51.163,10.1371/journal.pone.0069534
3140,3141,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,25,40.155,10.1371/journal.pone.0069534
3141,3142,2013,CuO,I,None,Negative,22.83,HepG2,H,Adult,L,24,50,33.333,10.1371/journal.pone.0069534
3229,3230,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,6,0.1,83.538,10.1080/01480545.2016.1199563
3230,3231,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,6,1,90.462,10.1080/01480545.2016.1199563
3231,3232,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,6,10,85.385,10.1080/01480545.2016.1199563
3232,3233,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,6,50,87.538,10.1080/01480545.2016.1199563
3233,3234,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,6,100,80,10.1080/01480545.2016.1199563
3234,3235,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,24,0.1,87.482,10.1080/01480545.2016.1199563
3235,3236,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,24,1,100,10.1080/01480545.2016.1199563
3236,3237,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,24,10,88.326,10.1080/01480545.2016.1199563
3237,3238,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,24,50,85.654,10.1080/01480545.2016.1199563
3238,3239,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,24,100,76.371,10.1080/01480545.2016.1199563
3239,3240,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,48,0.1,41.739,10.1080/01480545.2016.1199563
3240,3241,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,48,1,76.377,10.1080/01480545.2016.1199563
3241,3242,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,48,10,84.348,10.1080/01480545.2016.1199563
3242,3243,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,48,50,74.783,10.1080/01480545.2016.1199563
3243,3244,2017,IronOxide,I,None,Negative,28.33,mDF,A,Adult,P,48,100,63.478,10.1080/01480545.2016.1199563
3274,3275,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,6,0.1,76.068,10.1080/01480545.2016.1199563
3275,3276,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,6,1,100,10.1080/01480545.2016.1199563
3276,3277,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,6,10,94.302,10.1080/01480545.2016.1199563
3277,3278,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,6,50,95.726,10.1080/01480545.2016.1199563
3278,3279,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,6,100,86.61,10.1080/01480545.2016.1199563
3279,3280,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,24,0.1,49.647,10.1080/01480545.2016.1199563
3280,3281,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,24,1,55.289,10.1080/01480545.2016.1199563
3281,3282,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,24,10,53.032,10.1080/01480545.2016.1199563
3282,3283,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,24,50,55.007,10.1080/01480545.2016.1199563
3283,3284,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,24,100,51.622,10.1080/01480545.2016.1199563
3284,3285,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,48,0.1,51.13,10.1080/01480545.2016.1199563
3285,3286,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,48,1,52.119,10.1080/01480545.2016.1199563
3286,3287,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,48,10,48.87,10.1080/01480545.2016.1199563
3287,3288,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,48,50,43.644,10.1080/01480545.2016.1199563
3288,3289,2017,IronOxide,I,None,Negative,28.33,hPDLF,H,Adult,P,48,100,39.831,10.1080/01480545.2016.1199563
3490,3491,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,0.2,72.444,10.1002/jbm.a.35518
3491,3492,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,0.4,83.778,10.1002/jbm.a.35518
3492,3493,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,2,75.778,10.1002/jbm.a.35518
3493,3494,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,4,89.111,10.1002/jbm.a.35518
3494,3495,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,20,86,10.1002/jbm.a.35518
3495,3496,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,40,90.889,10.1002/jbm.a.35518
3496,3497,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,200,83.333,10.1002/jbm.a.35518
3497,3498,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,24,400,79.556,10.1002/jbm.a.35518
3498,3499,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,0.2,77.333,10.1002/jbm.a.35518
3499,3500,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,0.4,80.444,10.1002/jbm.a.35518
3500,3501,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,2,83.111,10.1002/jbm.a.35518
3501,3502,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,4,72.444,10.1002/jbm.a.35518
3502,3503,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,20,77.333,10.1002/jbm.a.35518
3503,3504,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,40,77.556,10.1002/jbm.a.35518
3504,3505,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,200,83.556,10.1002/jbm.a.35518
3505,3506,2015,Au,I,None,Negative,65,CCL-110,H,Fetus,P,96,400,62,10.1002/jbm.a.35518
3514,3515,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,0.5,91.608,10.1002/jbm.a.35518
3515,3516,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,1,94.172,10.1002/jbm.a.35518
3516,3517,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,5,107.46,10.1002/jbm.a.35518
3517,3518,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,10,79.254,10.1002/jbm.a.35518
3518,3519,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,15,92.541,10.1002/jbm.a.35518
3519,3520,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,20,70.163,10.1002/jbm.a.35518
3520,3521,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,24,25,62.704,10.1002/jbm.a.35518
3521,3522,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,0.5,126.34,10.1002/jbm.a.35518
3522,3523,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,1,126.34,10.1002/jbm.a.35518
3523,3524,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,5,111.89,10.1002/jbm.a.35518
3524,3525,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,10,113.05,10.1002/jbm.a.35518
3525,3526,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,15,100.7,10.1002/jbm.a.35518
3526,3527,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,20,71.562,10.1002/jbm.a.35518
3527,3528,2015,Au,I,Citrate,Negative,61.06,CCL-110,H,Fetus,P,96,25,40.093,10.1002/jbm.a.35518
3672,3673,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,24,0.5,87.183,10.1016/j.toxrep.2014.11.002
3673,3674,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,24,2,86.44,10.1016/j.toxrep.2014.11.002
3674,3675,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,24,4,84.582,10.1016/j.toxrep.2014.11.002
3675,3676,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,48,0.5,77.523,10.1016/j.toxrep.2014.11.002
3676,3677,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,48,2,72.693,10.1016/j.toxrep.2014.11.002
3677,3678,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,48,4,65.263,10.1016/j.toxrep.2014.11.002
3678,3679,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,72,0.5,75.294,10.1016/j.toxrep.2014.11.002
3679,3680,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,72,2,50.217,10.1016/j.toxrep.2014.11.002
3680,3681,2015,IronOxide,I,None,Negative,6,HeLa,H,Adult,L,72,4,42.229,10.1016/j.toxrep.2014.11.002
3681,3682,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,24,0.5,93.499,10.1016/j.toxrep.2014.11.002
3682,3683,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,24,2,87.74,10.1016/j.toxrep.2014.11.002
3683,3684,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,24,4,86.44,10.1016/j.toxrep.2014.11.002
3684,3685,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,48,0.5,92.941,10.1016/j.toxrep.2014.11.002
3685,3686,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,48,2,83.653,10.1016/j.toxrep.2014.11.002
3686,3687,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,48,4,78.824,10.1016/j.toxrep.2014.11.002
3687,3688,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,72,0.5,90.712,10.1016/j.toxrep.2014.11.002
3688,3689,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,72,2,80.31,10.1016/j.toxrep.2014.11.002
3689,3690,2015,IronOxide,I,Chitosan,Positive,8,HeLa,H,Adult,L,72,4,71.022,10.1016/j.toxrep.2014.11.002
3690,3691,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,24,0.5,97.447,10.1016/j.toxrep.2014.11.002
3691,3692,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,24,2,94.681,10.1016/j.toxrep.2014.11.002
3692,3693,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,24,4,91.277,10.1016/j.toxrep.2014.11.002
3693,3694,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,48,0.5,92.766,10.1016/j.toxrep.2014.11.002
3694,3695,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,48,2,80.426,10.1016/j.toxrep.2014.11.002
3695,3696,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,48,4,63.404,10.1016/j.toxrep.2014.11.002
3696,3697,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,72,0.5,85.745,10.1016/j.toxrep.2014.11.002
3697,3698,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,72,2,71.915,10.1016/j.toxrep.2014.11.002
3698,3699,2015,IronOxide,I,None,Negative,6,A549,H,Adult,L,72,4,45.319,10.1016/j.toxrep.2014.11.002
3699,3700,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,24,0.5,100,10.1016/j.toxrep.2014.11.002
3700,3701,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,24,2,95.532,10.1016/j.toxrep.2014.11.002
3701,3702,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,24,4,93.192,10.1016/j.toxrep.2014.11.002
3702,3703,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,48,0.5,96.596,10.1016/j.toxrep.2014.11.002
3703,3704,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,48,2,90.426,10.1016/j.toxrep.2014.11.002
3704,3705,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,48,4,83.191,10.1016/j.toxrep.2014.11.002
3705,3706,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,72,0.5,92.34,10.1016/j.toxrep.2014.11.002
3706,3707,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,72,2,88.085,10.1016/j.toxrep.2014.11.002
3707,3708,2015,IronOxide,I,Chitosan,Positive,8,A549,H,Adult,L,72,4,74.468,10.1016/j.toxrep.2014.11.002
3708,3709,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,24,0.5,93.8,10.1016/j.toxrep.2014.11.002
3709,3710,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,24,2,88.875,10.1016/j.toxrep.2014.11.002
3710,3711,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,24,4,74.468,10.1016/j.toxrep.2014.11.002
3711,3712,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,48,0.5,87.052,10.1016/j.toxrep.2014.11.002
3712,3713,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,48,2,75.198,10.1016/j.toxrep.2014.11.002
3713,3714,2015,IronOxide,I,None,Negative,6,HEK293,H,Embryonic,L,48,4,67.173,10.1016/j.toxrep.2014.11.002
3715,3716,2015,IronOxide,I,Chitosan,Positive,8,HEK293,H,Embryonic,L,24,2,97.629,10.1016/j.toxrep.2014.11.002
3716,3717,2015,IronOide,I,Chitosan,Positive,8,HEK293,H,Embryonic,L,24,4,95.988,10.1016/j.toxrep.2014.11.002
3717,3718,2015,IronOxide,I,Chitosan,Positive,8,HEK293,H,Embryonic,L,48,0.5,98.941,10.1016/j.toxrep.2014.11.002
3718,3719,2015,IronOxide,I,Chitosan,Positive,8,HEK293,H,Embryonic,L,48,2,97.629,10.1016/j.toxrep.2014.11.002
3719,3720,2015,IronOxide,I,Chitosan,Positive,8,HEK293,H,Embryonic,L,48,4,95.076,10.1016/j.toxrep.2014.11.002
3774,3775,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,0.5,109.73,10.1021/tx3002093
3775,3776,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,1,103.7,10.1021/tx3002093
3776,3777,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,5,97.86,10.1021/tx3002093
3777,3778,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,20,84.241,10.1021/tx3002093
3778,3779,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,30,56.42,10.1021/tx3002093
3779,3780,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,40,19.844,10.1021/tx3002093
3780,3781,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,50,4.2802,10.1021/tx3002093
3781,3782,2012,CuO,I,None,Negative,30,A549,H,Adult,L,24,100,3.3074,10.1021/tx3002093
3782,3783,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,0.5,104.67,10.1021/tx3002093
3783,3784,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,1,101.36,10.1021/tx3002093
3784,3785,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,5,65.564,10.1021/tx3002093
3785,3786,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,20,27.821,10.1021/tx3002093
3786,3787,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,30,2.9183,10.1021/tx3002093
3787,3788,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,40,2.5292,10.1021/tx3002093
3788,3789,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,50,1.1673,10.1021/tx3002093
3789,3790,2012,CuO,I,None,Negative,30,A549,H,Adult,L,48,100,0.7782,10.1021/tx3002093
3794,3795,2015,Au,I,Citrate,Negative,4.7,RAW264.7,A,Adult,L,48,5,100.28,10.2147/IJN.S72580
3796,3797,2015,Au,I,Citrate,Negative,4.7,RAW264.7,A,Adult,L,48,100,53.561,10.2147/IJN.S72580
3801,3802,2015,Au,I,unknown,Negative,270,RAW264.7,A,Adult,L,48,5,93.162,10.2147/IJN.S72580
3802,3803,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,10,94.872,10.2147/IJN.S72580
3803,3804,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,100,94.872,10.2147/IJN.S72580
3804,3805,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,1000,88.604,10.2147/IJN.S72580
3809,3810,2015,Au,I,Citrate,Negative,4.7,RAW264.7,A,Adult,L,48,5,100.25,10.2147/IJN.S72580
3810,3811,2015,Au,I,Citrate,Negative,4.7,RAW264.7,A,Adult,L,48,10,82.952,10.2147/IJN.S72580
3811,3812,2015,Au,I,Citrate,Negative,4.7,RAW264.7,A,Adult,L,48,100,68.957,10.2147/IJN.S72580
3816,3817,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,5,93.893,10.2147/IJN.S72580
3817,3818,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,10,86.005,10.2147/IJN.S72580
3818,3819,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,100,79.644,10.2147/IJN.S72580
3819,3820,2015,Au,I,Citrate,Negative,270,RAW264.7,A,Adult,L,48,1000,52.672,10.2147/IJN.S72580
